# Time series at grid cell:   1   1   1
VARIABLES = "Time (yrs) " , "pH                 ", "Ca++               ", "SO4--              ", "Mg++               ", "H4SiO4(aq)         ", "K+                 ", "O2(aq)             ", "Fe++               ", "Al+++              ", "
  1.00000E-50                7.80301695854460E+00   1.13843466899409E-02   2.80006430551657E-02   4.93178319270036E-02   1.70589099821224E-03   1.20002755929503E-02   1.79980636429022E-08   6.84371677813324E-04   2.30446569437656E-13
  2.00000E-50                7.80301695848997E+00   1.13843466899409E-02   2.80006430551657E-02   4.93178319270036E-02   1.70589099821224E-03   1.20002755929503E-02   1.79980636429022E-08   6.84371677813323E-04   2.30446569437656E-13
  3.00000E-50                7.80301695848937E+00   1.13843466899409E-02   2.80006430551657E-02   4.93178319270036E-02   1.70589099821224E-03   1.20002755929504E-02   1.79980636429022E-08   6.84371677813323E-04   2.30446569437654E-13
  4.00000E-50                7.80301695848936E+00   1.13843466899409E-02   2.80006430551658E-02   4.93178319270036E-02   1.70589099821224E-03   1.20002755929503E-02   1.79980636429022E-08   6.84371677813323E-04   2.30446569437655E-13
  5.00000E-50                7.80301695848936E+00   1.13843466899409E-02   2.80006430551657E-02   4.93178319270036E-02   1.70589099821224E-03   1.20002755929503E-02   1.79980636429022E-08   6.84371677813323E-04   2.30446569437656E-13
  7.00000E-50                7.80301695848936E+00   1.13843466899409E-02   2.80006430551658E-02   4.93178319270036E-02   1.70589099821224E-03   1.20002755929503E-02   1.79980636429022E-08   6.84371677813323E-04   2.30446569437656E-13
  1.10000E-49                7.80301695848936E+00   1.13843466899409E-02   2.80006430551658E-02   4.93178319270036E-02   1.70589099821224E-03   1.20002755929503E-02   1.79980636429022E-08   6.84371677813323E-04   2.30446569437656E-13
  1.90000E-49                7.80301695848936E+00   1.13843466899409E-02   2.80006430551658E-02   4.93178319270036E-02   1.70589099821224E-03   1.20002755929503E-02   1.79980636429022E-08   6.84371677813323E-04   2.30446569437656E-13
  3.50000E-49                7.80301695848936E+00   1.13843466899409E-02   2.80006430551658E-02   4.93178319270036E-02   1.70589099821224E-03   1.20002755929503E-02   1.79980636429022E-08   6.84371677813323E-04   2.30446569437656E-13
  6.70000E-49                7.80301695848936E+00   1.13843466899409E-02   2.80006430551658E-02   4.93178319270036E-02   1.70589099821224E-03   1.20002755929503E-02   1.79980636429022E-08   6.84371677813323E-04   2.30446569437656E-13
  1.31000E-48                7.80301695848936E+00   1.13843466899409E-02   2.80006430551658E-02   4.93178319270036E-02   1.70589099821224E-03   1.20002755929503E-02   1.79980636429022E-08   6.84371677813323E-04   2.30446569437656E-13
  2.59000E-48                7.80301695848936E+00   1.13843466899409E-02   2.80006430551658E-02   4.93178319270036E-02   1.70589099821224E-03   1.20002755929503E-02   1.79980636429022E-08   6.84371677813323E-04   2.30446569437656E-13
  5.15000E-48                7.80301695848936E+00   1.13843466899409E-02   2.80006430551658E-02   4.93178319270036E-02   1.70589099821224E-03   1.20002755929503E-02   1.79980636429022E-08   6.84371677813323E-04   2.30446569437656E-13
  1.02700E-47                7.80301695848936E+00   1.13843466899409E-02   2.80006430551658E-02   4.93178319270036E-02   1.70589099821224E-03   1.20002755929503E-02   1.79980636429022E-08   6.84371677813323E-04   2.30446569437656E-13
  2.05100E-47                7.80301695848936E+00   1.13843466899409E-02   2.80006430551658E-02   4.93178319270036E-02   1.70589099821224E-03   1.20002755929503E-02   1.79980636429022E-08   6.84371677813323E-04   2.30446569437656E-13
  4.09900E-47                7.80301695848936E+00   1.13843466899409E-02   2.80006430551658E-02   4.93178319270036E-02   1.70589099821224E-03   1.20002755929503E-02   1.79980636429022E-08   6.84371677813323E-04   2.30446569437656E-13
  8.19500E-47                7.80301695848936E+00   1.13843466899409E-02   2.80006430551658E-02   4.93178319270036E-02   1.70589099821224E-03   1.20002755929503E-02   1.79980636429022E-08   6.84371677813323E-04   2.30446569437656E-13
  1.63870E-46                7.80301695848936E+00   1.13843466899409E-02   2.80006430551658E-02   4.93178319270036E-02   1.70589099821224E-03   1.20002755929503E-02   1.79980636429022E-08   6.84371677813323E-04   2.30446569437656E-13
  3.27710E-46                7.80301695848936E+00   1.13843466899409E-02   2.80006430551658E-02   4.93178319270036E-02   1.70589099821224E-03   1.20002755929503E-02   1.79980636429022E-08   6.84371677813323E-04   2.30446569437656E-13
  6.55390E-46                7.80301695848936E+00   1.13843466899409E-02   2.80006430551658E-02   4.93178319270036E-02   1.70589099821224E-03   1.20002755929503E-02   1.79980636429022E-08   6.84371677813323E-04   2.30446569437656E-13
  1.31075E-45                7.80301695848936E+00   1.13843466899409E-02   2.80006430551658E-02   4.93178319270036E-02   1.70589099821224E-03   1.20002755929503E-02   1.79980636429022E-08   6.84371677813323E-04   2.30446569437656E-13
  2.62147E-45                7.80301695848936E+00   1.13843466899409E-02   2.80006430551658E-02   4.93178319270036E-02   1.70589099821224E-03   1.20002755929503E-02   1.79980636429022E-08   6.84371677813323E-04   2.30446569437656E-13
  5.24291E-45                7.80301695848936E+00   1.13843466899409E-02   2.80006430551658E-02   4.93178319270036E-02   1.70589099821224E-03   1.20002755929503E-02   1.79980636429022E-08   6.84371677813323E-04   2.30446569437656E-13
  1.04858E-44                7.80301695848936E+00   1.13843466899409E-02   2.80006430551658E-02   4.93178319270036E-02   1.70589099821224E-03   1.20002755929503E-02   1.79980636429022E-08   6.84371677813323E-04   2.30446569437656E-13
