# Time series at grid cell: 100   1   1
VARIABLES = "Time (yrs) " , "pH                 ", "Ca++               ", "SO4--              ", "Mg++               ", "H4SiO4(aq)         ", "K+                 ", "O2(aq)             ", "Fe++               ", "Al+++              ", "
  1.00000E-50                7.19933672127079E+00   4.33675353493452E-02   3.03639775815634E-04   3.29207733006427E-08   7.20738903767021E-04   1.65030075106938E-02   2.44095408360891E-08   4.13063404005321E-07   1.44812841999503E-04
  2.00000E-50                7.19933672846102E+00   4.33675353493451E-02   3.03639775815633E-04   3.29207733006427E-08   7.20738903767021E-04   1.65030075106938E-02   2.44095408360891E-08   4.13063404005323E-07   1.44812841999506E-04
  3.00000E-50                7.19933672857111E+00   4.33675353493452E-02   3.03639775815634E-04   3.29207733006427E-08   7.20738903767021E-04   1.65030075106938E-02   2.44095408360891E-08   4.13063404005325E-07   1.44812841999506E-04
  4.00000E-50                7.19933672857280E+00   4.33675353493452E-02   3.03639775815633E-04   3.29207733006427E-08   7.20738903767021E-04   1.65030075106938E-02   2.44095408360891E-08   4.13063404005322E-07   1.44812841999505E-04
  5.00000E-50                7.19933672857283E+00   4.33675353493452E-02   3.03639775815634E-04   3.29207733006427E-08   7.20738903767021E-04   1.65030075106938E-02   2.44095408360891E-08   4.13063404005323E-07   1.44812841999506E-04
  7.00000E-50                7.19933672857283E+00   4.33675353493452E-02   3.03639775815633E-04   3.29207733006427E-08   7.20738903767021E-04   1.65030075106938E-02   2.44095408360891E-08   4.13063404005320E-07   1.44812841999506E-04
  1.10000E-49                7.19933672857283E+00   4.33675353493453E-02   3.03639775815632E-04   3.29207733006427E-08   7.20738903767021E-04   1.65030075106938E-02   2.44095408360891E-08   4.13063404005320E-07   1.44812841999506E-04
  1.90000E-49                7.19933672857283E+00   4.33675353493453E-02   3.03639775815632E-04   3.29207733006427E-08   7.20738903767021E-04   1.65030075106938E-02   2.44095408360891E-08   4.13063404005320E-07   1.44812841999506E-04
  3.50000E-49                7.19933672857283E+00   4.33675353493453E-02   3.03639775815632E-04   3.29207733006427E-08   7.20738903767021E-04   1.65030075106938E-02   2.44095408360891E-08   4.13063404005320E-07   1.44812841999506E-04
  6.70000E-49                7.19933672857283E+00   4.33675353493453E-02   3.03639775815632E-04   3.29207733006427E-08   7.20738903767021E-04   1.65030075106938E-02   2.44095408360891E-08   4.13063404005320E-07   1.44812841999506E-04
  1.31000E-48                7.19933672857283E+00   4.33675353493453E-02   3.03639775815632E-04   3.29207733006427E-08   7.20738903767021E-04   1.65030075106938E-02   2.44095408360891E-08   4.13063404005320E-07   1.44812841999506E-04
  2.59000E-48                7.19933672857283E+00   4.33675353493453E-02   3.03639775815632E-04   3.29207733006427E-08   7.20738903767021E-04   1.65030075106938E-02   2.44095408360891E-08   4.13063404005320E-07   1.44812841999506E-04
  5.15000E-48                7.19933672857283E+00   4.33675353493453E-02   3.03639775815632E-04   3.29207733006427E-08   7.20738903767021E-04   1.65030075106938E-02   2.44095408360891E-08   4.13063404005320E-07   1.44812841999506E-04
  1.02700E-47                7.19933672857283E+00   4.33675353493453E-02   3.03639775815632E-04   3.29207733006427E-08   7.20738903767021E-04   1.65030075106938E-02   2.44095408360891E-08   4.13063404005320E-07   1.44812841999506E-04
  2.05100E-47                7.19933672857283E+00   4.33675353493453E-02   3.03639775815632E-04   3.29207733006427E-08   7.20738903767021E-04   1.65030075106938E-02   2.44095408360891E-08   4.13063404005320E-07   1.44812841999506E-04
  4.09900E-47                7.19933672857283E+00   4.33675353493453E-02   3.03639775815632E-04   3.29207733006427E-08   7.20738903767021E-04   1.65030075106938E-02   2.44095408360891E-08   4.13063404005320E-07   1.44812841999506E-04
  8.19500E-47                7.19933672857283E+00   4.33675353493453E-02   3.03639775815632E-04   3.29207733006427E-08   7.20738903767021E-04   1.65030075106938E-02   2.44095408360891E-08   4.13063404005320E-07   1.44812841999506E-04
  1.63870E-46                7.19933672857283E+00   4.33675353493453E-02   3.03639775815632E-04   3.29207733006427E-08   7.20738903767021E-04   1.65030075106938E-02   2.44095408360891E-08   4.13063404005320E-07   1.44812841999506E-04
  3.27710E-46                7.19933672857283E+00   4.33675353493453E-02   3.03639775815632E-04   3.29207733006427E-08   7.20738903767021E-04   1.65030075106938E-02   2.44095408360891E-08   4.13063404005320E-07   1.44812841999506E-04
  6.55390E-46                7.19933672857283E+00   4.33675353493453E-02   3.03639775815632E-04   3.29207733006427E-08   7.20738903767021E-04   1.65030075106938E-02   2.44095408360891E-08   4.13063404005320E-07   1.44812841999506E-04
  1.31075E-45                7.19933672857283E+00   4.33675353493453E-02   3.03639775815632E-04   3.29207733006427E-08   7.20738903767021E-04   1.65030075106938E-02   2.44095408360891E-08   4.13063404005320E-07   1.44812841999506E-04
  2.62147E-45                7.19933672857283E+00   4.33675353493453E-02   3.03639775815632E-04   3.29207733006427E-08   7.20738903767021E-04   1.65030075106938E-02   2.44095408360891E-08   4.13063404005320E-07   1.44812841999506E-04
  5.24291E-45                7.19933672857283E+00   4.33675353493453E-02   3.03639775815632E-04   3.29207733006427E-08   7.20738903767021E-04   1.65030075106938E-02   2.44095408360891E-08   4.13063404005320E-07   1.44812841999506E-04
  1.04858E-44                7.19933672857283E+00   4.33675353493453E-02   3.03639775815632E-04   3.29207733006427E-08   7.20738903767021E-04   1.65030075106938E-02   2.44095408360891E-08   4.13063404005320E-07   1.44812841999506E-04
